MES,NDVI sat,PRECIPITACIÓN modelo SWB,EVAPOTRANSPIRACIÓN ACTUAL  modelo SWB,INTERCEPCIÓN modelo SWB,EVAPOTRANSPIRACIÓN POTENCIAL modelo SWB,HUMEDAD  DEL SUELO modelo SWB,RECARGA modelo SWB,ml
1,0.668057,14.79576,67.777152,6.616557,137.253919,5739.043823,0.014533,
2,0.594504,109.73902,67.710569,20.110346,121.178929,4845.755533,1.713434,
3,0.637496,122.638363,84.763105,25.720141,144.200782,5375.022152,2.595513,
4,0.651578,198.530119,109.409384,2.627605,139.970673,5813.085359,13.720075,
5,0.766817,328.514942,113.587322,3.724465,121.613561,8524.530973,90.08031,
6,0.777916,168.059744,118.723495,28.438454,136.037482,8820.114022,11.164395,
7,0.744771,70.634819,109.789154,21.915038,139.695182,8518.170625,0.692007,
8,0.762621,219.93071,122.117867,36.480872,140.892579,8385.601805,8.242845,
9,0.752296,199.264907,127.395592,30.310903,144.868437,8886.369893,15.792482,
10,0.761055,227.779457,130.497193,35.097546,142.959642,9561.741859,35.103994,
11,0.755928,235.786069,113.138918,34.838281,127.54024,9584.456851,56.259204,
12,0.740786,117.609227,111.211357,26.44266,129.470556,9500.586291,17.808913,
1,0.678415,65.320731,105.580731,21.558565,148.683235,7610.213793,0.056014,
2,0.621377,110.811136,94.68915,26.613481,140.013134,5569.522533,0.513631,
3,0.65902,101.714618,101.49745,24.132488,158.590863,6096.950201,1.392986,
4,0.618541,141.422251,108.619684,2.024769,156.29542,5115.551907,1.664359,
5,0.753208,222.769377,126.439177,3.569883,147.750055,7288.575998,15.711002,
6,0.770325,120.57387,108.782618,24.643273,142.143325,7374.663586,3.615198,
7,0.693461,50.319442,102.477027,13.435405,174.93261,6235.241134,0.16761,
8,0.697823,154.022805,112.178584,29.354361,166.439729,5352.452612,0.406304,
9,0.739485,149.837447,110.761037,27.49995,161.718222,5302.116312,1.68405,
10,0.723315,262.317505,124.746591,35.801337,147.449438,6915.268316,10.670596,
11,0.775054,205.038328,113.138918,31.103563,132.743738,8156.691469,20.825572,
12,0.74772,109.377888,109.912136,22.781772,138.563384,8406.673707,6.203681,
1,0.681851,69.746496,99.422719,19.274451,155.953134,6400.156381,0.026424,
2,0.747055,61.27454,80.738692,18.424608,144.674197,4804.309414,0.053973,
3,0.556155,100.188265,89.587547,20.583233,174.499007,4143.130983,0.129412,
4,0.676521,134.563986,106.369281,2.743861,155.543873,4647.963978,1.749103,
5,0.711746,206.128975,116.415039,3.14214,162.954501,5003.131465,8.390832,
6,0.766458,63.226366,91.175154,15.182574,156.240251,5932.789383,1.44883,
7,0.71818,137.112802,99.182934,23.163004,164.381394,5205.034393,1.101602,
8,0.765657,103.90482,96.918593,21.866018,172.241008,4870.496376,1.0568,
9,0.700125,114.828587,92.422743,19.212,168.942546,4376.07316,0.993812,
10,0.705994,167.889354,100.781392,29.9686,151.192393,4969.886648,2.115444,
11,0.76284,173.116614,105.057937,32.409421,134.058306,5973.272383,3.101189,
12,0.747055,27.687841,71.63498,10.695648,149.325029,5157.680356,0.020432,
1,0.620387,30.604623,59.830745,10.832266,161.694393,3728.79611,0.00257,
2,0.507693,59.955819,55.873611,16.409849,168.889395,2524.892458,0.010014,
3,0.550287,100.681091,76.421459,24.890751,185.793053,2565.227586,0.182609,
4,0.610563,171.903467,96.960403,2.004786,161.634278,2965.093849,2.01746,
5,0.731242,174.642701,110.346391,4.176508,147.759633,5336.926907,6.016256,
6,0.78682,124.805536,104.9023,25.82116,151.274049,5747.078838,1.419355,
7,0.77962,145.15055,108.758779,30.642237,159.109707,5511.206416,1.581462,
8,0.70756,110.016626,101.39584,26.432913,171.744786,4807.428025,0.294382,
9,0.775664,189.426238,115.484325,31.574964,153.884848,5547.927925,5.002235,
10,0.777277,250.750746,122.298868,34.684147,145.85599,6837.463052,15.783295,
11,0.758855,222.128784,117.602986,33.619631,132.763671,8048.552595,23.39177,
12,0.74521,180.553582,112.802162,33.019777,129.555808,8977.443389,26.254409,
1,0.723541,77.422599,104.435824,22.241119,144.25317,7884.209969,1.330507,
2,0.630116,44.795956,84.461189,16.097718,146.258023,5327.257478,0.004923,
3,0.650373,226.149942,116.565316,32.833533,151.831294,5884.213242,5.081052,
4,0.731465,157.123891,111.285589,2.778025,149.202692,6459.64375,7.254169,
5,0.787559,289.473008,136.826457,3.511564,148.845885,8591.558452,61.939215,
6,0.798472,233.480777,120.370296,31.825556,135.169917,8741.245678,25.560431,
7,0.782104,109.035274,120.334449,22.669336,141.003098,9102.121197,4.213652,
8,0.7664,136.882512,121.011091,31.708345,153.223465,7746.02001,1.312446,
9,0.761253,213.353329,122.283987,33.459453,142.146035,7972.688842,10.633605,
10,0.74779,210.666492,123.64378,29.415301,140.964929,8987.842024,20.591874,
11,0.762374,226.171532,105.678997,34.252374,115.035884,9356.261557,46.518067,
12,0.751187,139.068883,62.750529,22.069488,69.06529,9919.101253,34.917597,
1,0.737397,128.69052,123.676054,23.687053,140.659982,9757.029073,26.722644,
2,0.67382,46.695562,99.510075,16.341367,146.028588,6665.763881,0.034062,
3,0.621457,115.251879,110.764123,25.832973,178.923192,5404.90469,0.167474,
4,0.702524,250.853112,117.345509,3.418914,135.34048,6849.200161,18.32468,
5,0.772208,364.757331,123.900696,3.471157,130.224693,9660.639698,116.139752,
6,0.791915,164.431233,114.840546,29.638871,126.469444,9467.224187,21.76593,
7,0.758325,124.858339,120.396047,24.655252,141.860167,9092.576065,10.437763,
8,0.749661,136.305373,121.644924,23.542038,150.93683,8663.228124,6.241541,
9,0.748833,200.305663,121.325566,32.749556,141.651577,8282.738795,9.154114,
10,0.755442,230.209864,126.254086,35.283087,137.483947,9432.744183,26.633705,
11,0.726301,239.322591,127.719727,35.373842,136.696783,9631.211395,39.725381,
12,0.736854,60.639553,112.955981,17.736696,138.603452,9065.027001,5.305759,
1,0.658127,49.712009,98.115331,15.944343,156.106632,6592.666462,0.008756,
2,0.588104,81.458689,88.279839,22.896178,154.486065,4433.605621,0.111933,
3,0.612964,175.753498,120.555435,31.658847,175.369252,4735.484715,0.643698,
4,0.738267,215.721854,134.818702,3.309731,160.691094,6303.572066,7.643507,
5,0.770527,282.103838,136.908737,3.322521,159.573874,7668.085068,41.13249,
6,0.692302,144.249186,132.335837,23.795728,154.563738,8796.618649,19.240087,
7,0.776084,126.267524,115.815124,24.870443,146.935575,7985.591266,1.736725,
8,0.698207,55.235649,98.836014,15.364709,161.176096,6499.404472,0.768351,
9,0.712482,149.696603,99.605323,26.948228,152.675599,5125.853485,0.594477,
10,0.785355,227.083783,121.855989,36.473339,149.447042,6491.70406,8.027502,
11,0.773114,190.503733,115.214508,28.248958,140.237331,7709.704535,18.506249,
12,0.746678,113.200547,100.856635,24.08292,137.427546,7260.343553,2.147729,
1,0.710636,56.705514,86.86828,14.010297,144.640196,6355.003372,0.286678,
2,0.634446,56.466294,76.326648,14.04582,152.331062,4655.71556,0.120618,
3,0.611902,86.067287,87.886251,20.913476,185.02102,3958.40932,0.207268,
4,0.67348,114.861181,103.929658,1.924262,168.79873,3697.772913,1.458149,
5,0.729823,116.865619,104.405937,3.821675,173.598639,3857.575026,0.639336,
6,0.769666,178.369787,94.530358,31.01239,139.56751,4366.46389,3.159032,
7,0.795341,280.621457,125.220326,33.77811,150.575672,6985.930346,21.740191,
8,0.746717,191.824661,132.663656,26.843803,171.888381,7319.265119,13.055814,
9,0.776158,235.980345,126.817202,33.339521,147.678557,8147.489266,34.173577,
10,0.782027,221.834847,142.040391,31.471432,167.062102,8452.087351,21.150916,
11,0.772937,240.76859,108.288917,30.839614,121.650956,8933.223179,51.307529,
12,0.769412,137.83304,100.368586,26.939362,116.421805,9119.426477,11.141763,
Deviación estanadar,0.06308343143,72.45934783,17.82252958,10.62286493,17.01193551,1912.496048,19.24037085,
Media ,0.7155250378,132.8531835,105.9353601,17.31274504,147.1486178,6479.724282,2.482125775,
